labels,a.7ej0,a.7ej8,a.7eja,a.7w6p,a.7w7e,i.6kux,a.7ej0-i.6kux,a.7ej8-i.6kux,a.7eja-i.6kux,a.7w6p-i.6kux,a.7w7e-i.6kux
"x2ee, x3ee, x4ee, x5ee, x6ee",343.40,372.55,348.36,322.66,361.11,366.40,-23.00,6.15,-18.04,-43.74,-5.29
"x2ee, x3ee, x4ee, x5ee, x7ee",345.56,414.25,372.03,322.75,389.11,373.55,-27.99,40.70,-1.53,-50.80,15.56
"x2ee, x3ee, x4ee, x6ee, x7ee",397.60,417.90,404.01,383.19,398.91,396.87,0.74,21.03,7.14,-13.67,2.05
"x2ee, x3ee, x5ee, x6ee, x7ee",359.72,396.49,384.03,326.57,364.62,368.99,-9.27,27.50,15.04,-42.42,-4.37
"x2ee, x4ee, x5ee, x6ee, x7ee",323.74,347.97,331.59,282.95,354.69,332.37,-8.63,15.60,-0.78,-49.42,22.32
"x3ee, x4ee, x5ee, x6ee, x7ee",336.69,355.19,343.20,319.12,338.29,328.37,8.31,26.81,14.82,-9.25,9.91
