labels,a.6oik,i.5zk3,i.5zkb,i.5zkc,a.6oik-i.5zk3,a.6oik-i.5zkb,a.6oik-i.5zkc
"x2ee, x3ee, x4ee, x5ee, x6ee",229.24,226.81,243.44,223.50,2.44,-14.20,5.74
"x2ee, x3ee, x4ee, x5ee, x7ee",216.92,215.72,243.29,214.76,1.21,-26.37,2.16
"x2ee, x3ee, x4ee, x6ee, x7ee",208.20,229.13,233.09,228.35,-20.94,-24.90,-20.15
"x2ee, x3ee, x5ee, x6ee, x7ee",204.94,199.19,216.86,195.62,5.75,-11.92,9.32
"x2ee, x4ee, x5ee, x6ee, x7ee",207.56,218.60,236.77,216.19,-11.04,-29.21,-8.63
"x3ee, x4ee, x5ee, x6ee, x7ee",207.88,210.81,224.27,207.43,-2.92,-16.39,0.45
